題目,答案
聖經最長是哪卷？,詩篇
聖經第二長是哪卷？,以賽亞書
上帝應許誰的子孫多如天上星地上沙？,亞伯拉罕
摩押人的祖宗摩押是誰的兒子？,羅得
舊約時代兩個活著被提的人是誰？,以諾、以利亞
耶穌登山變像時誰顯現與祂說話？,摩西、以利亞
耶穌生於什麼地方？,伯利恒
東方博士拜主時獻上哪些禮物？,黃金、乳香、沒藥
施洗約翰的父親叫什麼名字？,撒迦利亞
耶穌最先召的4個門徒叫什麼？,彼得、安得烈、雅各、約翰
今天的人類是亞當哪個兒子的後裔？,塞特
聖經最長是哪章？,詩篇119篇
聖經最短是哪章？,詩篇117篇
聖經一共有多少章？,1189章
耶穌登山變像時帶誰同去？,彼得、雅各、約翰
進迦南後的以色列人攻佔的頭一座城是什麼城？,耶利哥
以色列人進迦南時誤與什麼人立約？,基遍人
約翰福音那位「主所愛的門徒」是誰？,約翰
耶穌有多少次清楚預言自己受死復活？,3次
約翰福音中記載耶穌行了幾個神跡？,8個
馬太原從事何職？,稅吏
撒母耳的母親名叫什麼？,哈拿
耶穌出自以色列哪個支派？,猶大
啟示錄的作者是誰？,約翰
哪位先知被扔進獅子坑卻平安？,但以理
哪位先知被大魚吞入腹卻平安？,約拿
聖殿是哪位以色列王建造的？,所羅門
以色列這個人又名什麼？,雅各
大衛的曾祖母路得原是哪國人？,摩押
哪位先知被稱為烈火先知？,以利亞
哪位先知被稱為流淚的先知？,耶利米
誰與天使摔跤，並且「得勝」？,雅各
誰為一碗紅豆湯出賣長子的名份？,以掃
第一位以「羊」為「祭」，獻給上帝的人是誰？,亞伯
四福音都有記載耶穌所行的唯一神蹟是哪件？,五餅二魚
大衛軍隊的元帥是誰？,約押
聖靈在什麼時候降臨在門徒身上？,五旬節
聖經有二卷是以女子的名字冠名的，是哪二卷？,路得記、以斯帖記
已知名的聖經作者中，唯一一位外邦人是誰？,路加
見證耶穌是「神的羔羊」的是誰？,施洗約翰
聖經中，記有三次動物說話，是哪三件？……蛇、驢、鷹,
誰為耶穌施洗？,施洗約翰
誰為保羅施洗？,亞拿尼亞
誰膏大衛為王？,撒母耳
誰領以色列人出埃及？,摩西
誰領以色列人進迦南？,約書亞
第一個見到復活後的耶穌的人是誰？,抹大拉的馬利亞
新約第一位殉道者是誰？,司提反
第一位殉道的使徒是誰？,雅各
士師記中，第一位士師是誰？,俄陀聶
亞伯拉罕原名是什麼？,亞伯蘭
上帝把誰從所多瑪城救出？,羅得一家
亞伯拉罕100歲才生的兒子叫什麼？,以撒
聖經中，最大年紀生子的是誰？多少歲？,挪亞500歲
聖經中，壽命最長的是誰？多少歲？,瑪土撒拉969歲
以色列人的祭司都是誰的子孫？,亞倫
希伯來書說耶穌是照著誰的等次永遠為祭司？,麥基洗德
誰伸手扶約櫃而被上帝擊殺？,烏撒
誰起先熱心逼迫教會，之後，悔改而成為使徒？,保羅
列王紀中，以色列亡於何國？,亞述
列王紀中，猶大於于何國？,巴比倫
分裂後的北國第一個王是誰？,耶羅波安
分裂後的南國第一個王是誰？,羅波安
哪位先知預言耶路撒冷荒涼到70年期滿？,耶利米
哪位先知預言童女懷孕生子？,以賽亞
哪位先知預言基督的出生地？,彌迦
除馬太福音外，還有哪卷有「天國」一詞？,提摩太後書
「天堂」一詞出現在哪二卷書？,希伯來書、彼得前書
「教會」一詞最早出現在哪卷書？,馬太福音
律法是藉著誰傳的？,摩西
在哪卷書耶穌應許賜下保惠師？,約翰福音
上帝稱誰為「完全正直、敬畏上帝、遠離惡事」？,約伯
上帝稱誰是「合我心意的人」？,大衛
耶穌所講的全部「比喻」中，唯一有名字的人是誰？,拉撒路
啟示錄七教會中，主唯一提名表揚的是誰？,安提帕
二位有提到名字的天使叫什麼？,加百列、米迦勒
撒但在墮落之前，是哪類天使？,基路伯
以色列人當「奉獻」的「份」是多少？,十分之一
誰允許「被擄的猶大人」回國「重建」聖殿？,波斯王古列、（居魯士）
基督的新婦是……？,教會
以撒的妻子名叫什麼？,利百加
唯一一位被記載坐著祈禱的人是誰？,大衛
屠殺伯利恒男嬰的是誰？,希律
耶穌被賣之夜，擘餅前，先把誰打發走？,加略人猶大
耶穌被捉拿的地點是哪里？,客西馬尼園
聖經哪二卷書有記耶穌的家譜？,馬太福音、路加福音
主禱文記在聖經哪卷？,馬太福音
聖經哪二卷記載「十誡」？,出埃及記、申命記
耶穌復活後過多少天才升天？,40天
門徒稱為基督徒，是從哪里起首？,安提阿
哪位「先知」向他的老師求要加倍的靈？,以利沙
哪位「先知」預言以色列國要分裂成二國？,亞希雅
哪位「先知」責備大衛王所犯的罪？,拿單
連夜審判耶穌的大祭司名叫什麼？,該亞法
誰代為耶穌背十字架？,古利奈人西門
誰埋葬耶穌？,亞利馬太的約瑟
誰問「真理是什麼呢」卻不要答案？,彼拉多
誰說「耶和華是誰，使我聽他的話」？,埃及法老
哪位「傳道人」曾被蛇咬卻平安？,保羅
哪位「傳道人」曾一次性引領三千人「信主」？,彼得
基督降生時，天使向什麼人報佳音？,牧羊人
什麼人因看見異星而知基督降生？,東方博士
耶穌稱誰是「心裏沒有詭詐的」？,拿但業
耶穌對哪個人，連一句話都不說？,希律
誰「狂妄自大」而被蟲咬死？,希律
誰「狂妄自大」而受罰吃草如牛？,尼布甲尼撒
掃羅之前，曾有人自立為王，是誰？,亞比米勒
嬰兒摩西棄於河中，被誰收養？,法老女兒
「耶和華以勒」是什麼意思？,耶和華必預備
「耶和華尼西」是什麼意思？,耶和華是我旌旗
「耶和華沙龍」是什麼意思？,耶和華賜平安
誰病危時，祈禱蒙上帝賜他多15年壽命？,希西家
哪位「先知」連續兩次吩咐火從天而降各燒死50人？,以利亞
哪兩個人因獻「凡火」而被上帝降火燒死？,拿答、亞比戶
第一位被稱為「先知」的人是誰？,亞伯拉罕
第一位被稱為「先知」的女性是誰？,米利暗
誰欲看耶穌，卻因矮小而先爬上桑樹等待？,撒該
誰說若不親手摸過主的釘痕，就總不信主已復活？,多馬
天使長「米迦勒」為什麼事與「撒但」爭辯？,摩西的屍體
耶穌說哪個人「不活在世上倒好」？,加略人猶大
哪卷書記載最多個「阿們」？,申命記
哪卷書沒有一次提到神？,以斯帖記
哪卷書任何一章的節數都可給22整除？,耶利米哀歌
「割禮」的約，是從誰開始的？,亞伯拉罕
誰說自己從「風聞有神，到現在親眼看見神」？,約伯
被稱為「與神面對面說話的人」是誰？,摩西
第一位「與神同行的人」是誰？,以諾
耶穌一生，唯一一次出國是到哪里？,埃及
耶穌一生唯一一次問上帝「為什麼」，全句？,我的上帝，我的上帝，為什麼離棄我？
哪位「先知」說得著「上帝的話語」就當食物吃了？,耶利米
哪位「先知」為以色列立王？,撒母耳
誰預言「有星要出於雅各」？,巴蘭
誰說自己為「基督」解鞋帶，還不配？,施洗約翰
耶穌說普天之下「傳福音」都必述說的事是哪件？,馬利亞用香膏抹主
以色列第一位大祭司是誰？,亞倫
耶穌把誰譬作「狐狸」？,希律
以色列人吃「嗎哪」的時間有多久？,40年
埃及十災有哪四樣動物氾濫成災？,蛙、虱、蠅、蝗
太陽曾在哪里的上空停留約一日？,基遍
向馬利亞「預言」基督降生的天使叫什麼？,加百列
聖經所記唯一一次「賭博」是誰與誰賭？,參孫 與 非利士人
以色列哪個「支派」險些全族滅亡？,便雅憫
聖經第一次關於「酒」的記載，是誰喝醉酒？,挪亞
聖經第一次記載以「音樂」「讚美」神的事是誰帶領的？,摩西
按律法，以色列男丁須在出生後第幾天受割禮？,第八天
上帝應許「挪亞」不再以「洪水」滅世，以什麼為標記？,彩虹
「彼得」曾叫誰「復活」？,多加
保羅曾叫誰「復活」？,猶推古
使徒行傳所記，保羅在哪里牧會最久？多久？,以弗所教會*三年
士師記中，唯一記名的「先知」叫什麼？,底坡拉
先知「阿摩司」原從事何職？,牧羊人兼修理桑樹
第一個「多妻的人」是誰？,拉麥
誰冒失「起誓」而把女兒「獻為祭」？,耶弗他
誰冒失「起誓」而險殺「兒子」？,掃羅
誰起先禁「交鬼」，之後又「犯」「交鬼」呢？,掃羅
誰「立志」為上帝「建殿」卻不蒙應允？,大衛
以色列 國最後一個王是誰？,何細亞
猶大國 最後一個王是誰？,西底家
耶穌行的第一個神蹟是在哪裏行的？,迦拿
人類犯罪後，以什麼為自己遮羞？,無花果樹的葉子
洪水退後，方舟停在哪裏？,阿拉臘山
人類因作了什麼事，而被上帝「變亂口音」？,建造 巴別塔
亞伯拉罕獻「以撒」的地點是在哪裏？,摩利亞地
「聖殿」建於何址（山）？,摩利亞山
滅了猶大國的「巴比倫王」叫什麼？,尼布甲尼撒
聖經說誰死的時候眼目沒有昏花，精神沒有衰敗？,摩西
亞述大軍派往「耶路撒冷城門」辱?上帝的人是誰？,拉伯沙基
誰見耶穌在海面行走他也跟著下去？,彼得
猶大國最後一個「行義的王」是誰？,約西亞
火燒聖殿的「巴比倫 護衛長」叫什麼？,尼布撒拉旦
誰因「褻瀆」聖物，而見「神的手指」在牆上寫字宣佈「刑罰」？,伯沙撒
以前的世界，被水所滅，將來會被什麼滅了？,火
以利沙吩咐「乃縵」怎樣作才治好「痲瘋病」？,到約但河沐浴七次
誰有四個女兒，都是「說」「預言」的？,腓利
耶穌說什麼「罪」今世、來世「總不得」「赦免」？,褻瀆聖靈
除了耶穌之外，誰是從母腹裏，就被聖靈充滿的？,施洗約翰
從「埃及」出來，僅有的兩個能活著進「迦南」的成年男性是誰？,迦勒、約書亞
哪位「猶大王」親自「獻祭」而致患大痲瘋？,烏西雅
誰因「貪財」而致患大痲瘋？,基哈西
耶穌稱讚哪兩個人的「信心」是大的？,迦百農的百夫長、另一個是迦南婦人
誰因不信「天使的預言」而暫時變「啞巴」？,撒迦利亞
在曠野路上，造「會幕及聖物」的二位工匠是誰？,比撒列、亞何利亞伯
雅各十二個兒子中，唯一一個父親為他起名的是誰？,便雅憫
晚年的雅各「住」「埃及」多少年？,17年
上帝說什麼「比萬物都詭詐」壞到極處？,人心
誰看見主耶穌站在上帝的右邊？,司提反
聖經說誰「為人極其謙和」勝過世上的眾人？,摩西
全本聖經唯一寫「救世主」一詞的是哪處？,約4：42
全本聖經唯一寫「牧師」一詞的是哪處？,弗4：11
耶穌生平，唯一一次說「咒詛的話」是「咒詛」什麼？,不結果的無花果樹
猶大國歷史上，唯一的「篡權奪位者」是誰？,亞他利雅
聖經說「全律法」都包在「哪一句話」之內？,愛人如己
第一位進「外邦人」家裏「傳福音」並「施洗」的使徒是誰？,彼得
人若在「什麼事」上「沒有過失」就是「完全人」？,言語
保羅所行第一個「神蹟」是什麼？,叫「以呂馬」的眼睛「瞎」了
主耶穌說要把什麼「鑰匙」交給使徒？,天國的鑰匙
哪族人「擄掠」約櫃而「自取其禍」？,非利士人
哪族人「謹遵祖訓」不喝酒而蒙上帝賜福？,利甲人
「以馬內利」是什麼意思？,上帝與我們同在
「哈利路亞」是什麼意思？,要「讚美」耶和華
